products,,,,,,
food_name,scientific_name,group,sub_group,kcal,price,expiration
Velvet duck,Melanitta fusca,Animal foods,Poultry,"650,4","9,42",
Mallard duck,Anas platyrhynchos,Animal foods,Poultry,"873,74","7,9",
Pheasant,Phasianus colchicus,Animal foods,Poultry,"152,83","0,42",
Quail,Phasianidae,Animal foods,Poultry,"909,53","0,29",
Black bear,Ursus americanus,Animal foods,Other mammals,"799,85","9,52",
Polar bear,Ursus maritimus,Animal foods,Other mammals,"298,79","2,42",
Caribou,Rangifer tarandus,Animal foods,Venison,"231,14","6,15",
European rabbit,Oryctolagus,Animal foods,Lagomorphs,"39,17","4,15",
Raccoon,Procyon lotor,Animal foods,Other mammals,"324,91","6,99",
Beefalo,Bos taurus X Bison bison,Animal foods,Bovines,"570,24","9,02",
Rock ptarmigan,Lagopus muta,Animal foods,Poultry,"7,23","7,82",
Mule deer,Odocoileus,Animal foods,Venison,"592,99","8,28",
Antelope,Artiodactyla,Animal foods,Venison,"466,93","8,67",
Mountain hare,Lepus timidus,Animal foods,Lagomorphs,"410,34","0,88",
Turkey,Meleagris gallopavo,Animal foods,Poultry,"127,49","5,51",
Elk,Cervus canadensis,Animal foods,Venison,"884,24","7,11",
Emu,Dromaius novaehollandiae,Animal foods,Poultry,"85,23","2,15",
Beaver,Castor canadensis,Animal foods,Rodents,"443,29","1,1",
Deer,Cervidae,Animal foods,Venison,"245,48","5,91",
Chicken (Cock; Hen; Rooster),Gallus gallus,Animal foods,Poultry,"878,72","7,29",
Wild boar,Sus scrofa,Animal foods,Swine,"879,07","6,59",
Cattle (Beef; Veal),Bos taurus,Animal foods,Bovines,"794,99","1,35",
Arctic ground squirrel,Urocitellus parryii,Animal foods,Rodents,"413,43","1,9",
Animal foods,NULL,Animal foods,Animal foods,"72,32","5,02",
Moose,Alces alces,Animal foods,Venison,"920,83","4,24",
Domestic pig (Piglet; Pork),Sus scrofa domestica,Animal foods,Swine,"710,25","3,61",
Rabbit,Leporidae,Animal foods,Lagomorphs,"946,07","5,55",
Muskrat,Ondatra zibethicus,Animal foods,Rodents,"434,18","1,53",
Brown bear,Ursus arctos,Animal foods,Other mammals,"583,49","3,33",
Buffalo,Bubalus bubalis,Animal foods,Bovines,"721,51","3,65",
Greylag goose,Anser anser,Animal foods,Poultry,"470,43","3,64",
Domestic goat,Capra aegagrus hircus,Animal foods,Caprae,"252,88","2,52",
Columbidae (Dove; Pigeon),Columbidae,Animal foods,Poultry,861,"0,2",
Sheep (Mutton; Lamb),Ovis aries,Animal foods,Ovis,"915,08","6,8",
Great horned owl,Bubo virginianus,Animal foods,Poultry,"388,5","1,32",
Guinea hen,Numida meleagris,Animal foods,Poultry,"990,31","8,22",
Opossum,Didelphis virginiana,Animal foods,Marsupials,"938,22","0,06",
Ostrich,Struthio camelus,Animal foods,Poultry,"831,9","0,72",
Squab,Columba,Animal foods,Poultry,"791,35","1,84",
Squirrel,Sciuridae,Animal foods,Rodents,"301,6","3,71",
Other meat product,NULL,Animal foods,Meat products,"591,34","0,03",
Anatidae (Duck; Goose; Swan),Anatidae,Animal foods,Poultry,862,"4,15",
Horse,Equus caballus,Animal foods,Equines,"507,92","4,31",
Bison,Bison bison,Animal foods,Bovines,"687,86","6,1",
Spot croaker,Leiostomus xanthurus,Aquatic foods,Fishes,"396,11","2,57",
Atlantic menhaden,Brevoortia tyrannus,Aquatic foods,Fishes,"191,18","8,84",
Cuttlefish,Sepiidae,Aquatic foods,Mollusks,"114,19","1,92",
Jellyfish,Scyphozoa,Aquatic foods,Other aquatic foods,"786,11","9,41",
Anchovy,Engraulidae,Aquatic foods,Fishes,"840,42","1,54",
Blue whiting,Micromesistius poutassou,Aquatic foods,Fishes,"258,76","7,04",
Carp bream,Abramis brama,Aquatic foods,Fishes,"415,05","0,17",
Devilfish,Myoxocephalus,Aquatic foods,Fishes,"52,62","6,72",
Sturgeon,Acipenseridae,Aquatic foods,Fishes,"972,42","0,9",
Charr,Salvelinus,Aquatic foods,Fishes,"664,86","7,6",
Crab,Brachyura,Aquatic foods,Crustaceans,"126,96","3,55",
Common dab,Limanda limanda,Aquatic foods,Fishes,"36,97","5,99",
Spiny dogfish,Squalus acanthias,Aquatic foods,Fishes,"896,08","7,87",
Anguilliformes (Eel),Anguilliformes,Aquatic foods,Fishes,"430,35","6,7",
True frog,Ranidae,Aquatic foods,Amphibians,"271,07","4,11",
Garfish,Belone belone,Aquatic foods,Fishes,"851,6","3,88",
Gadiformes (Cod; Hake),Gadiformes,Aquatic foods,Fishes,"568,41","2,46",
Lake trout,Salvelinus namaycush,Aquatic foods,Fishes,"468,19","1,32",
Lemon sole,Microstomus kitt,Aquatic foods,Fishes,"76,66","7,68",
Clawed lobster,Nephropidae,Aquatic foods,Crustaceans,"140,95","0,35",
Lumpsucker,Cyclopteridae,Aquatic foods,Fishes,"734,29","2,24",
Scombridae (Bonito; Mackerel; Tuna),Scombridae,Aquatic foods,Fishes,"617,66","1,76",
Marine mussel,Mytilidae,Aquatic foods,Mollusks,"364,66","1,01",
Norway haddock,Sebastes viviparus,Aquatic foods,Fishes,"969,95","2,94",
Norway lobster,Nephrops norvegicus,Aquatic foods,Crustaceans,"821,29","4,35",
Norway pout,Trisopterus esmarkii,Aquatic foods,Fishes,"211,32","9,39",
True oyster,Ostreidae,Aquatic foods,Mollusks,"316,83","1,5",
Pikeperch,Sander lucioperca,Aquatic foods,Fishes,"687,34","4,4",
Pleuronectidae (Dab; Halibut; Plaice),Pleuronectidae,Aquatic foods,Fishes,"681,6","8,3",
Pacific ocean perch,Sebastes alutus,Aquatic foods,Fishes,"924,55","0,72",
Dolphin fish,Coryphaena hippurus,Aquatic foods,Fishes,"536,33","1,18",
True seal,Phocidae,Aquatic foods,Pinnipeds,"591,23","0,61",
Red algae,Rhodophyta,Aquatic foods,Seaweed,"981,72","5,85",
Kombu,Saccharina japonica,Aquatic foods,Seaweed,"284,56","7,97",
Snail,Gastropoda,Aquatic foods,Mollusks,"954,88","2,79",
True sole,Soleidae,Aquatic foods,Fishes,"826,81","0,16",
Catfish,Siluriformes,Aquatic foods,Fishes,"854,99","2,15",
Freshwater drum,Aplodinotus grunniens,Aquatic foods,Fishes,"27,83",6,
Thunnus (Common tuna),Thunnus,Aquatic foods,Fishes,"427,9","4,13",
Cetacea (Dolphin; Porpoise; Whale),Cetacea,Aquatic foods,Cetaceans,"152,83","5,89",
Conch,Strombidae,Aquatic foods,Mollusks,"114,46","0,93",
Other fish product,NULL,Aquatic foods,Fish products,"193,07","0,98",
Roe,NULL,Aquatic foods,Roe,"204,09","0,02",
Cichlidae (Tilapia),Cichlidae,Aquatic foods,Fishes,"849,18","4,47",
Green turtle,Chelonia mydas,Aquatic foods,Other aquatic foods,"550,25","4,7",
Dungeness crab,Cancer magister,Aquatic foods,Crustaceans,"177,48","2,07",
Eastern oyster,Crassostrea virginica,Aquatic foods,Mollusks,"451,88","8,49",
Freshwater eel,Anguilla,Aquatic foods,Fishes,"499,1","9,25",
Ascidians,Ascidiacea,Aquatic foods,Other aquatic foods,"543,44","9,75",
European anchovy,Engraulis encrasicolus,Aquatic foods,Fishes,"626,72","9,12",
Turbot,Scophthalmus maximus,Aquatic foods,Fishes,"178,25","1,94",
Crustaceans,NULL,Aquatic foods,Crustaceans,"115,51","9,25",
Fishes,NULL,Aquatic foods,Fishes,"7,66","9,6",
Mollusks,NULL,Aquatic foods,Mollusks,"262,57","6,46",
Florida pompano,Trachinotus carolinus,Aquatic foods,Fishes,"10,43","3,61",
Greenland halibut/turbot,Reinhardtius hippoglossoides,Aquatic foods,Fishes,"946,15","7,41",
Beluga whale,Delphinapterus leucas,Aquatic foods,Cetaceans,"813,83","8,64",
Grouper,Epinephelus,Aquatic foods,Fishes,"263,3","1,52",
Haddock,Melanogrammus aeglefinus,Aquatic foods,Fishes,"716,27","7,58",
Hippoglossus (Common halibut),Hippoglossus,Aquatic foods,Fishes,"796,14","0,25",
Irish moss,Chondrus crispus,Aquatic foods,Seaweed,"337,2","3,53",
Pacific jack mackerel,Trachurus symmetricus,Aquatic foods,Fishes,"419,94","2,43",
Alaska blackfish,Dallia pectoralis,Aquatic foods,Fishes,"741,57","9,25",
